chemical_id,chemical_casrn,chemical_name,systemic_adjusted_negative_log_lel
DSSTox_GSID_34598,71283-80-2,"Fenoxaprop-P-ethyl(Propanoicacid,2-{4-{(6-chloro-2-benzoxazolyl)oxy}phenoxy}-,ethylester,(R)-)",?
DSSTox_GSID_32579,64700-56-7,"Triclopyr-butotyl(Aceticacid,((3,5,6-trichloro-2-pyridinyl)oxy)-,2-butoxyethylester)(TriclopyrBEE)",?
DSSTox_GSID_32613,122-14-5,Fenitrothion,4.301
DSSTox_GSID_22731,298-46-4,Carbamazepine(Carbazepine),?
DSSTox_GSID_22405,131-57-7,2-Hydroxy-4-methoxybenzophenone,?
DSSTox_GSID_27916,26896-20-8,Neodecanoicacid,?
DSSTox_GSID_34956,112281-77-3,Tetraconazole,4.155
DSSTox_GSID_28038,55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,2.875
DSSTox_GSID_41719,6359-98-4,"C.I.Acidyellow17,disodiumsalt",?
DSSTox_GSID_26251,603-35-0,Triphenylphosphine,?
DSSTox_GSID_24163,330-55-2,Linuron,3.234
DSSTox_GSID_47598,41481-66-7,"4,4'-sulfonylbis[2-(prop-2-en-1-yl)phenol](TGSA)",?
DSSTox_GSID_26529,88-60-8,"2-tert-Butyl-5-methylphenol(Phenol,2-(1,1-dimethylethyl)-5-methyl-)(6-tert-Butyl-m-cresol)",?
DSSTox_GSID_34212,118134-30-8,Spiroxamine,3.032
DSSTox_GSID_23889,76578-14-8,Quizalofop-ethyl,4.347
DSSTox_GSID_32531,116255-48-2,"Bromuconazole(1H-1,2,4-Triazole,1-((4-bromo-2-(2,4-dichlorophenyl)tetrahydro-2-furanyl)methyl)-)",?
DSSTox_GSID_32578,59669-26-0,Thiodicarb,4
DSSTox_GSID_26789,108-32-7,"1,3-Dioxolan-2-one,4-methyl-",?
DSSTox_GSID_21758,78-51-3,"Tris(2-butoxyethyl)phosphate(Tributoxyethylphosphate)(Ethanol,2-butoxy-,phosphate(3:1))",?
DSSTox_GSID_47590,94-47-3,2-Phenylethylbenzoate,?
DSSTox_GSID_34210,29091-21-2,Prodiamine,3.268
DSSTox_GSID_20890,56-04-2,6-Methyl-2-thiouracil(Methylthiouracil),?
DSSTox_GSID_20915,86-87-3,1-Naphthaleneaceticacid,?
DSSTox_GSID_41847,109-43-3,Dibutyldecanedioate(Dibutylsebacate),?
DSSTox_GSID_21554,334-48-5,Decanoicacid(Capricacid),?
DSSTox_GSID_44718,68555-86-2,"Benzenesulfonicacid,4-[[5-methoxy-4-[(4-methoxyphenyl)azo]-2-methylphenyl]azo]-,sodiumsalt;C.I.26501",?
DSSTox_GSID_21518,110-17-8,Fumaricacid((2E)-2-Butenedioicacid)(trans-Butenedioicacid),?
DSSTox_GSID_34653,79983-71-4,Hexaconazole,3.851
DSSTox_GSID_27955,29590-42-9,"Isooctylacrylate(2-Propenoicacid,isooctylester)",?
DSSTox_GSID_20576,57-63-6,17alpha-Ethinylestradiol,?
DSSTox_GSID_22828,4291-63-8,Cladribine(2-chloro-2'-deoxyadenosine)(2CdA),?
DSSTox_GSID_25143,526-75-0,"2,3-Dimethylphenol",?
DSSTox_GSID_47565,2043-57-4,"1H,1H,2H,2H-Perfluorooctyliodide",?
DSSTox_GSID_24124,79277-27-3,Thiameturon-methyl(Harmony),?
DSSTox_GSID_22055,540-88-5,tert-Butylacetate,?
DSSTox_GSID_21739,71-23-8,1-Propanol(n-propanol),?
DSSTox_GSID_44493,23779-32-0,"1-[3-(Triethoxysilyl)propyl]urea(Urea,[3-(triethoxysilyl)propyl]-)",?
DSSTox_GSID_41516,1110651,2-Ethyl-3-hydroxy-4H-pyran-4-one,?
DSSTox_GSID_34612,69806-50-4,Fluazifop-butyl,4.824
DSSTox_GSID_24085,16672-87-0,Ethephon,2.409
DSSTox_GSID_27494,2687-25-4,"2,3-Diaminotoluene",2.176
DSSTox_GSID_25291,123-05-7,2-Ethylhexanal,?
DSSTox_GSID_21645,124-07-2,Octanoicacid(Caprylicacid),?
DSSTox_GSID_29124,95-93-2,"1,2,4,5-Tetramethylbenzene",?
DSSTox_GSID_30307,626-43-7,"3,5-Dichloroaniline",?
DSSTox_GSID_41200,94-91-7,"N,N'-Disalicylidene-1,2-diaminopropane(.alpha.,.alpha.'-(Propylenedinitrilo)di-o-cresol)",?
DSSTox_GSID_37541,1031-07-8,Endosulfansulfate,?
DSSTox_GSID_47381,NOCAS_47381,AVE8923,2.602
DSSTox_GSID_21217,58-14-0,Pyrimethamine,4.046
DSSTox_GSID_27292,683-18-1,"Stannane,dibutyldichloro-",?
DSSTox_GSID_24699,614-45-9,tert-Butyl perbenzoate,2.523
DSSTox_GSID_44818,735273,"2-Butyloctan-1-ol(1-Octanol,2-butyl-)",?
DSSTox_GSID_40371,140-56-7,Fenaminosulf,0.824
DSSTox_GSID_32352,5598-13-0,Chlorpyrifos-methyl,5
DSSTox_GSID_21411,115-96-8,Tris(2-chloroethyl) phosphate,2.357
DSSTox_GSID_23871,33089-61-1,Amitraz,3.699
DSSTox_GSID_21251,81-07-2,"Saccharin(1,2-Benzisothiazol-3(2H)-one,1,1-dioxide)(1,1-Dioxo-1,2-dihydro-1lambda6-benzo[d]isothiazol-3-one)",?
DSSTox_GSID_27625,6422-86-2,Bis(2-ethylhexyl) terephthalate,?
DSSTox_GSID_48512,107071-66-9,"1-[4-(2,2-Diphenylethenyl)piperidin-1-yl]-9-(pyridin-3-yl)nonan-1-one",?
DSSTox_GSID_41425,6728-26-3,(2E)-2-Hexenal,?
DSSTox_GSID_48201,5407-98-7,Cyclobutylphenylketone,?
DSSTox_GSID_24002,39515-41-8,Fenpropathrin,4.176
DSSTox_GSID_21770,79-95-8,"2,2',6,6'-TetrachlorobisphenolA(4,4'-isopropylidenebis(2,6-dichlorophenol))",?
DSSTox_GSID_20257,120-80-9,Catechol,?
DSSTox_GSID_21006,684-93-5,N-Nitroso-N-methylurea(NMU),?
DSSTox_GSID_26298,108-38-3,"1,3-Dimethylbenzene(m-Xylene)",?
DSSTox_GSID_41210,99-85-4,gamma-Terpinene,?
DSSTox_GSID_22422,101-77-9,"4,4'-Methylenedianiline(Methylenedianiline))4-[(4-aminophenyl)methyl]aniline)",?
DSSTox_GSID_41188,705-60-2,(2-Nitro-1-propenyl)benzene,?
DSSTox_GSID_34764,111991-09-4,Nicosulfuron,?
DSSTox_GSID_20961,100-01-6,4-Nitroaniline,3.347
DSSTox_GSID_27032,124-68-5,2-Amino-2-methyl-1-propanol,?
DSSTox_GSID_41661,611-20-1,"Benzonitrile,2-hydroxy-",?
DSSTox_GSID_24827,69-09-0,Chlorpromazine hydrochloride,3.778
DSSTox_GSID_22253,10453-86-8,Resmethrin,2.574
DSSTox_GSID_22777,169590-42-5,Celecoxib,?
DSSTox_GSID_27793,17796-82-6,"N-(Cyclohexylthio)phthalimide(1H-Isoindole-1,3(2H)-dione,2-(cyclohexylthio)-)",?
DSSTox_GSID_47288,203942-49-8,UK-337312,?
DSSTox_GSID_29153,120-51-4,"Benzylbenzoate(Benzoicacid,phenylmethylester)",?
DSSTox_GSID_24072,957-51-7,Diphenamid,?
DSSTox_GSID_23202,112809-51-5,Letrozole(Femera),?
DSSTox_GSID_20654,105-87-3,Geranylacetate(trans-Geraniolacetate),?
DSSTox_GSID_27721,10081-67-1,4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,?
DSSTox_GSID_33371,96-41-3,Cyclopentanol,?
DSSTox_GSID_29162,126-06-7,"3-Bromo-1-chloro-5,5-dimethylhydantoin",?
DSSTox_GSID_48511,1062243-51-9,"4-[(9-Cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-yl)amino]-3-methoxy-N-(1-methylpiperidin-4-yl)benzamide",?
DSSTox_GSID_42169,5116-94-9,Monotridecylphosphate,?
DSSTox_GSID_22367,53-16-7,Estrone(E1),?
DSSTox_GSID_24999,99-54-7,"3,4-Dichloronitrobenzene(Benzene,1,2-dichloro-4-nitro-)",?
DSSTox_GSID_26031,151-21-3,Sodiumdodecylsulfate(Sodiumlaurylsulfate)(SDS),?
DSSTox_GSID_20480,828-00-2,Dimethoxane,2.81
DSSTox_GSID_26918,112-53-8,Laurylalcohol,?
DSSTox_GSID_21234,4548-53-2,FD&amp;CRed4(C.I.FoodRed1)(PonceauSX),?
DSSTox_GSID_47334,NOCAS_47334,MK-968,?
DSSTox_GSID_25055,122-62-3,Bis(2-ethylhexyl)decanedioate(Di(2-ethylhexyl)sebacate)(DEHS),?
DSSTox_GSID_26841,110-33-8,"Hexanedioicacid,dihexylester",?
DSSTox_GSID_24051,1445-75-6,Diisopropylmethylphosphonate(DIMP),?
DSSTox_GSID_20281,100-00-5,"4-Chloronitrobenzene;Benzene,1-chloro-4-nitro-;p-Chloronitrobenzene",?
DSSTox_GSID_23897,43121-43-3,Triadimefon,3.079
DSSTox_GSID_48171,146011-65-6,FR145237,?
DSSTox_GSID_26691,102-76-1,"Triacetin(1,2,3-Propanetrioltriacetate)(Glyceryltriacetate)",?
DSSTox_GSID_24315,88671-89-0,Myclobutanil,3.127
DSSTox_GSID_32514,643-79-8,"1,2-Benzenedicarboxaldehyde",4.301
DSSTox_GSID_20107,22839-47-0,Aspartame,?
DSSTox_GSID_47322,200940-23-4,"5-methyl-N-{6-[(2-methylpyridin-3-yl)oxy]pyridin-3-yl}-6-(trifluoromethyl)-2,3-dihydro-1H-indole-1-carboxamide hydrochloride",?
DSSTox_GSID_21477,13755-29-8,Sodiumtetrafluoroborate,?
DSSTox_GSID_27500,2807-30-9,2-Propoxyethanol(Ethyleneglycolmonopropylether),?
DSSTox_GSID_23927,101-55-3,p-Bromodiphenylether,?
DSSTox_GSID_20262,133-90-4,Chloramben,?
DSSTox_GSID_26514,85-41-6,"Phthalimide(1H-Isoindole-1,3(2H)-dione)",?
DSSTox_GSID_24704,98-51-1,"4-tert-Butyltoluene(Benzene,1-(1,1-dimethylethyl)-4-methyl-)",?
DSSTox_GSID_26513,85-40-5,"4-Cyclohexene-1,2-dicarboximide;1H-Isoindole-1,3(2H)-dione,3a,4,7,7a-tetrahydro-",?
DSSTox_GSID_47246,139340-56-0,PD-136095-0073,3.653
DSSTox_GSID_25895,101-54-2,"N-Phenyl-1,4-benzenediamine",2.301
DSSTox_GSID_47360,929601-09-2,SR58611,3.176
DSSTox_GSID_21364,636-21-5,2-Methylanilinehydrochloride(o-Toluidinehydrochloride),?
DSSTox_GSID_47391,1068967-96-3,N-(5-fluoro-3-methyl-1H-indol-1-yl)-4-methyl-2-(pyridin-2-yl)pyrimidine-5-carboxamide,?
DSSTox_GSID_41097,85532-75-8,N-(Butan-2-yl)-1-(2-chlorophenyl)-N-methylisoquinoline-3-carboxamide,?
DSSTox_GSID_20295,106-47-8,4-Chloroaniline,2.125
DSSTox_GSID_20152,100-51-6,Benzyl alcohol,?
DSSTox_GSID_24176,126-98-7,Methacrylonitrile,?
DSSTox_GSID_24104,206-44-0,Fluoranthene,?
DSSTox_GSID_26838,110-27-0,"Tetradecanoicacid,1-methylethylester",?
DSSTox_GSID_32365,1194-65-6,Dichlobenil,2.903
DSSTox_GSID_32355,81777-89-1,Clomazone,3.569
DSSTox_GSID_47138,98-06-6,tert-Butylbenzene,?
DSSTox_GSID_21286,96-09-3,Styrene oxide,?
DSSTox_GSID_47333,NOCAS_47333,L-954,2.778
DSSTox_GSID_21655,109-52-4,Pentanoicacid,?
DSSTox_GSID_24177,10265-92-6,Methamidophos,4.363
DSSTox_GSID_22267,16752-77-5,Methomyl,3.337
DSSTox_GSID_32610,80844-07-1,Etofenprox,3.481
DSSTox_GSID_25886,121-39-1,Ethyl3-phenylglycidate,?
DSSTox_GSID_27608,5915-41-3,Terbuthylazine,?
DSSTox_GSID_20268,115-28-6,Chlorendic acid,2.201
DSSTox_GSID_25523,118-71-8,Maltol,?
DSSTox_GSID_48191,13680-35-8,"4,4'-Methylenebis(2,6-diethylaniline)",?
DSSTox_GSID_32484,3383-96-8,Temephos,?
DSSTox_GSID_23869,834-12-8,Ametryn,2.778
DSSTox_GSID_23999,66215-27-8,Cyromazine,3.602
DSSTox_GSID_34614,181274-17-9,"Flucarbazone-sodium(1H-1,2,4-Triazole-1-carboxamide,4,5-dihydro-3-methoxy-4-methyl-5-oxo-N-[[2-(trifluoromethoxy)phenyl]sulfonyl]-,sodiumsalt)",?
DSSTox_GSID_36105,88-41-5,"2-tert-Butylcyclohexylacetate(Cyclohexanol,2-(1,1-dimethylethyl)-,acetate)",?
DSSTox_GSID_21788,88-30-2,3-Trifluoromethyl-4-nitrophenol(Trifluoro-4-nitro-m-cresol)(TFM)(4-Nitro-3-(trifluoromethyl)phenol),?
DSSTox_GSID_24062,95-65-8,"3,4-Dimethylphenol",?
DSSTox_GSID_42507,64-10-8,"Urea,phenyl-",?
DSSTox_GSID_21800,91-66-7,"N,N-Diethylaniline(Benzenamine,N,N-diethyl-)",?
DSSTox_GSID_25080,108-83-8,"Diisobutylketone(4-Heptanone,2,6-dimethyl-)",?
DSSTox_GSID_44537,1323-19-9,"Sodium2,4,7-tri(propan-2-yl)naphthalene-1-sulfonate",?
DSSTox_GSID_26915,112-42-5,1-Undecanol,?
DSSTox_GSID_44823,5536-61-8,Sodiummethacrylate,?
DSSTox_GSID_27932,27323-41-7,"Benzenesulfonicacid,dodecyl-,compd.with2,2',2''-nitrilotris[ethanol](1:1)",?
DSSTox_GSID_26946,115-95-7,"1,6-Octadien-3-ol,3,7-dimethyl-,acetate",?
DSSTox_GSID_27926,27193-86-8,Dodecylphenol,?
DSSTox_GSID_35708,25155-18-4,"Methylbenzethoniumchloride(Benzenemethanaminium,N,N-dimethyl-N-(2-(3-(methyl-4-(1,1,3,3-tetramethylbutyl)phenoxy)ethoxy)ethyl)-,chloride)",?
DSSTox_GSID_25010,96-23-1,"1,3-Dichloro-2-propanol",?
DSSTox_GSID_47553,2058-94-8,Perfluoroundecanoicacid,?
DSSTox_GSID_22436,126-00-1,"4,4-Bis(4-hydroxyphenyl)valericacid",?
DSSTox_GSID_48172,NOCAS_48172,"2-(2-{5-[5-(Azepan-1-ylmethyl)-2-thienyl]-1,2,4-oxadiazol-3-yl}ethyl)-1H-isoindole-1,3(2H)-dione(2E)-but-2-enedioate(1:1)",?
DSSTox_GSID_47366,NOCAS_47366,SAR115740,5.255
DSSTox_GSID_21391,1330-78-5,"Tricresylphosphate(Tritolylphosphate)(Phosphoricacid,tris(methylphenyl)ester)",?
DSSTox_GSID_38788,1076-97-7,"1,4-Cyclohexanedicarboxylicacid",?
DSSTox_GSID_20511,612-82-8,"3,3'-Dimethylbenzidinedihydrochloride",?
DSSTox_GSID_20792,123-33-1,Maleic hydrazide,0.824
DSSTox_GSID_25226,24169-02-6,Econazolenitrate,?
DSSTox_GSID_21030,86-30-6,N-Nitrosodiphenylamine,1.824
DSSTox_GSID_20022,50594-66-6,"Benzoicacid,5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitro-)",?
DSSTox_GSID_32513,85264-33-1,"(3,5-Dimethyl-1H-pyrazol-1-yl)methanol",?
DSSTox_GSID_41472,107-54-0,"3,5-Dimethyl-1-hexyn-3-ol",?
DSSTox_GSID_48182,712-50-5,Cyclohexylphenylketone,?
DSSTox_GSID_29871,23593-75-1,Clotrimazole,?
DSSTox_GSID_26781,108-11-2,4-Methyl-2-pentanol,?
DSSTox_GSID_47528,58394-64-2,Benzyloctyladipate(BOA)(AdimollBO),?
DSSTox_GSID_47349,NOCAS_47349,AVE8488,3.909
DSSTox_GSID_47127,16587-71-6,4-(tert-Pentyl)-cyclohexanone,?
DSSTox_GSID_20370,1596-84-5,Daminozide,3.697
DSSTox_GSID_20910,55-98-1,Busulfan,4.778
DSSTox_GSID_34981,4342-36-3,Tributyltinbenzoate,?
DSSTox_GSID_44536,13171-00-1,"Ethanone,1-[6-(1,1-dimethylethyl)-2,3-dihydro-1,1-dimethyl-1H-inden-4-yl]-",?
DSSTox_GSID_20093,20265-97-8,4-Methoxyanilinehydrochloride,?
DSSTox_GSID_25292,94-96-2,"2-Ethyl-1,3-hexanediol",?
DSSTox_GSID_20647,98-01-1,Furfural,2.959
DSSTox_GSID_29879,65277-42-1,Ketoconazole,?
DSSTox_GSID_21224,6459-94-5,"C.I.AcidRed114(C.I.AcidRed114,disodiumsalt)",?
DSSTox_GSID_34674,125225-28-7,Ipconazole,?
DSSTox_GSID_31248,6385-62-2,Diquatdibromidemonohydrate,?
DSSTox_GSID_21426,57-13-6,Urea,?
DSSTox_GSID_22000,141-43-5,Ethanolamine,?
DSSTox_GSID_34930,98886-44-3,Fosthiazate,5.097
DSSTox_GSID_47290,402910-27-4,3-[(dimethylamino)methyl]-4-[3-methyl-4-(methylsulfanyl)phenoxy]benzenesulfonamide,?
DSSTox_GSID_41663,103-41-3,Benzylcinnamate,?
DSSTox_GSID_34816,6923-22-4,Monocrotophos,5.824
DSSTox_GSID_47359,298198-52-4,SSR180711,3.778
DSSTox_GSID_27496,2702-72-9,"Aceticacid,(2,4-dichlorophenoxy)-,sodiumsalt;2,4-Dsodiumsalt",?
DSSTox_GSID_21196,139-40-2,Propazine,4.523
DSSTox_GSID_26302,1300-72-7,"Sodiumxylenesulfonate(Benzenesulfonicacid,dimethyl-,sodiumsalt)",?
DSSTox_GSID_24254,85-01-8,Phenanthrene,?
DSSTox_GSID_48168,129299-90-7,Fabesetronhydrochloride,?
DSSTox_GSID_23581,79902-63-9,Simvastatin,?
DSSTox_GSID_20205,85-68-7,Butyl benzyl phthalate,2
DSSTox_GSID_41818,14765-30-1,"2-sec.-Butylcyclohexanone(Cyclohexanone,2-(1-methylpropyl)-)",?
DSSTox_GSID_41267,1569-02-4,1-Ethoxy-2-propanol,?
DSSTox_GSID_29755,29387-86-8,Propyleneglycolmonobutylether(Butoxypropan-1-ol),?
DSSTox_GSID_20683,87-68-3,"Hexachloro-1,3-butadiene(Hexachlorobutadiene)",?
DSSTox_GSID_24873,108-80-5,Cyanuric acid,?
DSSTox_GSID_29904,678-39-7,"1,1,2,2-Tetrahydroperfluoro-1-decanol",?
DSSTox_GSID_48176,NOCAS_48176,YM218,?
DSSTox_GSID_38888,2390-60-5,"BasicBlue7(Ethanaminium,N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-,chloride)",?
DSSTox_GSID_20764,101-21-3,Chlorpropham,2.799
DSSTox_GSID_27263,628-63-7,"Aceticacid,pentylester;n-Amylacetate",?
DSSTox_GSID_34545,110488-70-5,Dimethomorph,3.538
DSSTox_GSID_21378,76-03-9,Trichloroacetic acid,?
DSSTox_GSID_32337,33629-47-9,Butralin,3
DSSTox_GSID_34490,420-04-2,Cyanamide,3.574
DSSTox_GSID_48520,625114-41-2,Piragliatin,?
DSSTox_GSID_21922,110-73-6,2-(Ethylamino)ethanol(N-Ethylethanolamine),?
DSSTox_GSID_41557,53219-21-9,"7-Octen-2-ol,2-methyl-6-methylene-,dihydroderiv.",?
DSSTox_GSID_42503,55934-93-5,Tripropyleneglycolbutylether,?
DSSTox_GSID_21301,54965-24-1,Tamoxifen citrate,6
DSSTox_GSID_20337,50-41-9,Clomiphene citrate,2.824
DSSTox_GSID_47258,124378-77-4,"2-(1-benzofuran-4-yl)-N-methyl-N-[(5R,7S,8S)-7-(pyrrolidin-1-yl)-1-oxaspiro[4.5]dec-8-yl]acetamide",?
DSSTox_GSID_20449,62-73-7,Dichlorvos,5
DSSTox_GSID_47741,132-65-0,Dibenzothiophene,?
DSSTox_GSID_32647,21564-17-0,2-(Thiocyanomethylthio)benzothiazole,3.222
DSSTox_GSID_47286,123122-55-4,Candoxatril,2.398
DSSTox_GSID_24200,108-39-4,3-Methylphenol,?
DSSTox_GSID_41715,6625-46-3,"C.I.Acidviolet12,disodiumsalt",?
DSSTox_GSID_20220,1948-33-0,tert-Butylhydroquinone,1.903
DSSTox_GSID_20870,119-47-1,"2,2'-Methanediylbis(6-tert-butyl-4-methylphenol)",?
DSSTox_GSID_22254,13071-79-9,Terbufos,4.66
DSSTox_GSID_24466,150-13-0,4-Aminobenzoicacid,?
DSSTox_GSID_48210,93-99-2,Phenylbenzoate,?
DSSTox_GSID_25271,103-69-5,N-Ethylaniline,?
DSSTox_GSID_24304,74051-80-2,Sethoxydim,3.173
DSSTox_GSID_20373,72-54-8,"p,p-DDD",?
DSSTox_GSID_48185,41372-20-7,R-(-)-Apomorphinehydrochloridehemihydrate,?
DSSTox_GSID_47301,210826-40-7,CP-456773,3.176
DSSTox_GSID_41289,976753,"N,N,N-Trimethyltetradecan-1-aminiumchloride;1-Tetradecanaminium,N,N,N-trimethyl-,chloride",?
DSSTox_GSID_27345,960-71-4,"Borane,triphenyl-",?
DSSTox_GSID_27364,1118-92-9,"N,N-Dimethyloctanamide",?
DSSTox_GSID_32358,57966-95-7,Cymoxanil,3
DSSTox_GSID_42382,682-01-9,"Tetrapropylorthosilicate(Silicicacid(H4SiO4),tetrapropylester)",?
DSSTox_GSID_21995,134-62-3,"N,N-Diethyl-3-methylbenzamide",2.602
DSSTox_GSID_22381,84-16-2,meso-Hexestrol,?
DSSTox_GSID_24159,82558-50-7,Isoxaben,2.824
DSSTox_GSID_41703,25638-17-9,Butylnaphthalenesulfonicacidsodiumsalt,?
DSSTox_GSID_25091,119-90-4,"3,3'-Dimethoxybenzidine(o-Dianisidine)",?
DSSTox_GSID_24059,119-93-7,"3,3'-Dimethylbenzidine(o-Tolidine)",?
DSSTox_GSID_26922,112-60-7,"Tetraethyleneglycol(Ethanol,2,2'-[oxybis(2,1-ethanediyloxy)]bis-)",?
DSSTox_GSID_34877,53112-28-0,Pyrimethanil,3.721
DSSTox_GSID_48203,1601718,Ethyl4-chlorophenylketone(4'-Chloropropiophenone),?
DSSTox_GSID_21888,107-87-9,2-Pentanone,?
DSSTox_GSID_24681,75-64-9,"tert-Butylamine(2-Propanamine,2-methyl-)",?
DSSTox_GSID_26488,79-92-5,"2,2-Dimethyl-3-methylenebicyclo[2.2.1]heptane",?
DSSTox_GSID_40222,199119-58-9,Trifloxysulfuron-sodium,2
DSSTox_GSID_42422,93-56-1,"1-Phenyl-1,2-ethanediol",?
DSSTox_GSID_25152,106-65-0,"Dimethylbutanedioate(Dimethylsuccinate)(Butanedioicacid,dimethylester)",?
DSSTox_GSID_27837,24800-44-0,"Tripropyleneglycol(Propanol,[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-)",?
DSSTox_GSID_37749,4638-48-6,5-Chlorosalicylanilide(5-Chloro-2-hydroxy-N-phenylbenzamide),?
DSSTox_GSID_37523,962-58-3,Diazoxon(Diazinonoxon),?
DSSTox_GSID_25133,99-51-4,"1,2-Dimethyl-4-nitrobenzene",?
DSSTox_GSID_22413,97-54-1,isoeugenol,?
DSSTox_GSID_21392,102-71-6,"Triethanolamine(Trolamine)(Ethanol,2,2',2''-nitrilotris-)",?
DSSTox_GSID_32537,7173-51-5,Didecyldimethylammonium chloride,4.176
DSSTox_GSID_26523,87-90-1,"Symclosene(Trichloro-s-triazinetrione)(1,3,5-Triazine-2,4,6(1H,3H,5H)-trione,1,3,5-trichloro-)",?
DSSTox_GSID_27052,128-39-2,"2,6-Di-tert-butylphenol",?
DSSTox_GSID_32572,23031-36-9,Prallethrin,3.004
DSSTox_GSID_41299,7011-83-8,"2(3H)-Furanone,5-hexyldihydro-5-methyl-(gamma-Methyl-gamma-decanolactone)",?
DSSTox_GSID_42423,126-14-7,Sucroseoctaacetate,?
DSSTox_GSID_20161,92-52-4,Biphenyl,?
DSSTox_GSID_32348,3691-35-8,Chlorophacinone,?
DSSTox_GSID_23523,2078-54-8,"Propofol(2,6-Diisopropylphenol)",?
DSSTox_GSID_21322,97-77-8,Disulfiram,2.648
DSSTox_GSID_33664,58-18-4,17-Methyltestosterone,3.778
DSSTox_GSID_22394,491-80-5,BiochaninA,?
DSSTox_GSID_42490,2031-67-6,Triethoxymethylsilane,?
DSSTox_GSID_24145,51235-04-2,Hexazinone,2.77
DSSTox_GSID_26496,80-26-2,"alpha-Terpinylacetate;3-Cyclohexene-1-methanol,.alpha.,.alpha.,4-trimethyl-,acetate",?
DSSTox_GSID_48194,1671-75-6,Heptanophenone,?
DSSTox_GSID_20420,23950-58-5,Propyzamide,2.875
DSSTox_GSID_37094,68392-35-8,4-Hydroxytamoxifen(4HT)(Afimoxifene),?
DSSTox_GSID_23881,74115-24-5,Clofentezine,2.699
DSSTox_GSID_25506,463-40-1,"Linolenicacid((9Z,12Z,15Z)-Octadeca-9,12,15-trienoicacid)",?
DSSTox_GSID_34588,131807-57-3,Famoxadone,3.943
DSSTox_GSID_27191,542-92-7,"1,3-Cyclopentadiene",?
DSSTox_GSID_38939,754-91-6,Perfluorooctanesulfonamide(PFOSA),?
DSSTox_GSID_26867,111-20-6,Decanedioicacid(Sebacicacid),?
DSSTox_GSID_25612,4553-62-2,2-Methylpentanedinitrile,?
DSSTox_GSID_41726,259636,C.I.DirectRed81disodiumsalt,?
DSSTox_GSID_21774,83-32-9,Acenaphthene,?
DSSTox_GSID_29217,1569-01-3,1-Propoxy-2-propanol(PropasolSolventP)(Propyleneglycolpropylether),?
DSSTox_GSID_30698,10016-20-3,alpha-Cyclodextrin,3.357
DSSTox_GSID_21358,1156-19-0,Tolazamide,?
DSSTox_GSID_21941,111-90-0,2-(2-Ethoxyethoxy)ethanol,?
DSSTox_GSID_27833,24549-06-2,"2-Ethyl-6-methylaniline(Benzenamine,2-ethyl-6-methyl-)(2-Ethyl-6-methyl-phenylamine)",?
DSSTox_GSID_27963,30399-84-9,Isooctadecanoicacid(Isostearicacid),?
DSSTox_GSID_47394,330198-91-9,Fullyacetylatedglycerolmonoesteron12-Hydroxystearicacid(85%);Fullyacetylatedglycerolmonostearaterepresents(10%),?
DSSTox_GSID_20582,91-53-2,Ethoxyquin,2.875
DSSTox_GSID_27312,770-35-4,"2-Propanol,1-phenoxy-",?
DSSTox_GSID_27920,27090-63-7,"N,N,N',N'-Tetrabutyl-1,6-hexanediamine",?
DSSTox_GSID_20243,133-06-2,Captan,2.699
DSSTox_GSID_20047,57-06-7,Allylisothiocyanate,?
DSSTox_GSID_32651,51707-55-2,Thidiazuron,2.62
DSSTox_GSID_21866,105-99-7,Dibutyladipate;AdimollDB,?
DSSTox_GSID_21385,133-07-3,Folpet,2.875
DSSTox_GSID_22526,94-18-8,Benzyl4-hydroxybenzoate,?
DSSTox_GSID_47268,104795-68-8,sodium5-({[5-methoxy-3-(propan-2-yloxy)-1-benzothiophen-2-yl]carbonyl}amino)tetrazol-1-ide,?
DSSTox_GSID_20604,106-87-6,"4-Vinyl-1-cyclohexenedioxide(4-Vinyl-1-cyclohexenediepoxide)(1-Ethyleneoxy-3,4-epoxycyclohexane)(1-Vinyl-3-cyclohexenedioxide)(4-VinylcyclohexeneDioxide)",?
DSSTox_GSID_42121,110235-47-7,Mepanipyrim,?
DSSTox_GSID_22153,1461-25-2,"Tetrabutyltin(stannane,tetrabutyl-)",?
DSSTox_GSID_26906,112-18-5,"N,N-Dimethyldodecan-1-amine(Lauryldimethylamine)",?
DSSTox_GSID_41623,15310-01-7,Benodanil,?
DSSTox_GSID_27258,625-55-8,"Formicacid,1-methylethylester",?
DSSTox_GSID_21199,1114-71-2,Pebulate(PropylN-ethyl-N-butylthiocarbamate),?
DSSTox_GSID_32667,66230-04-4,Esfenvalerate,4.079
DSSTox_GSID_27991,36653-82-4,1-Hexadecanol,?
DSSTox_GSID_21553,112-31-2,Decanal,?
DSSTox_GSID_40110,105-37-3,"Ethylpropionate(Propanoicacid,Ethylester)",?
